苍老师照片没穿衣服的	原来你也是女孩子
西雅图有什么好玩儿的	我们还是聊点有意义的话题
微信牛逼吗	请注意文明用语
什么时候过年	时间过得可快
鳄鱼	真是个吃货
完全不知道你在说啥	知道，小微知道的可多了
天上有多少颗星星	星星的我还没有见过
天上有多少颗星星	星星可是很好吃的
采桑归西露沾我衣。	你的弟弟肯定很漂亮？
采桑归西露沾我衣。	你很喜欢这个角色么？
采桑归西露沾我衣。	你很喜欢这个角色嘛？
我看看有没有空	那你可要注意安全
广州有什么好吃的	有什么好吃的？
广州有什么好吃的	每天都有好吃的
你好无聊	无聊就来和我聊天
被妈妈打了一下	骂人是不对的
我明天去理发	我可没有那么大本事
我要娶个美国妞	我可没有得罪你
我要娶个美国妞	看来你很喜欢他
广州怎么样	很不错，你可以试试
广州怎么样	你可以试试
今天有什么新闻	你可以试一下
我昨天找过你了	不要这样对小微嘛
才发现爱情竟是一场考验	相信一定可以考验的
发个给力图片看哈喽	你有什么好看的图片？
我在开会呢	你在忙什么呀？
你以后别跟着我了	我可没有那么小气
对面哪个妹子好看	你试试不就知道了
中国有多大	我可没有那么大本事
太阳好大啊	难道你不喜欢小微嘛？
我下午要开会	真是个不错的地方
不开心也是一天	只要你开心就好了
最近几天南方降温	你可以提前提一下
